name,address,rating,price,latitude,longitude,source
Holbox,"3655 S Grand Ave c9, Los Angeles, CA 90007, United States",4.8,2.0,34.017356,-118.278405,google
Maccheroni Republic,"332 S Broadway, Los Angeles, CA 90013, United States",4.6,2.0,34.0500306,-118.2485361,google
Guelaguetza Restaurant,"3014 W Olympic Blvd, Los Angeles, CA 90006, United States",4.3,2.0,34.0524074,-118.3006681,google
Da Andrea - Greenwich Village,"35 W 13th St, New York, NY 10011",4.4,2.0,40.736287,-73.995865,yelp
Olio e Più,"3 Greenwich Ave, New York, NY 10014",4.5,2.0,40.73406231935954,-73.99999980859876,yelp
Monkey Bar,"60 E 54th St, New York, NY 10022",4.3,,40.75998,-73.97313,yelp
LoveMama,"174 2nd Ave, New York, NY 10003",4.4,2.0,40.730387,-73.986093,yelp
Brass,"7 E 27th St, New York, NY 10016",4.6,,40.743975508106,-73.98698245105909,yelp
Her Name Is Han,"17 E 31st St, New York, NY 10016",4.3,2.0,40.74625007940397,-73.98476227403484,yelp
Da Andrea - Chelsea,"160 8th Ave, New York, NY 10011",4.7,3.0,40.742041,-74.000467,yelp
The View,"1535 Broadway, New York, NY 10036",4.5,,40.75873736147128,-73.98622,yelp
Raku,"48 Macdougal St, New York, NY 10012",4.5,2.0,40.7272479,-74.00253944171621,yelp
ARIARI,"119 1st Ave, New York, NY 10003",4.5,,40.727283504010266,-73.9858313,yelp
Obao,"647 9th Ave, New York, NY 10036",4.0,2.0,40.7606544,-73.991332,yelp
The Casual Greek,"821 2nd Ave, New York, NY 10017",4.6,,40.751091,-73.971641,yelp
Crab House NYC,"135 E 55th St, New York, NY 10022",4.4,4.0,40.75961,-73.9698,yelp
Thai Villa,"5 E 19th St, G Floor, New York, NY 10003",4.4,2.0,40.73902,-73.99065,yelp
Friedman's,"138 W 31st St, New York, NY 10001",4.0,2.0,40.74852102217393,-73.9908866,yelp
Botte Brooklyn,"327 Gold St, Brooklyn, NY 11201",4.3,,40.69446,-73.98316,yelp
Nobody Told Me,"188 Front St, Brooklyn, NY 11201",4.5,,40.70225697182919,-73.9849383,yelp
Piccola Cucina Osteria,"196 Spring St, New York, NY 10012",4.3,2.0,40.72503127956934,-74.0032820972858,yelp
Chama Mama ,"121 Montague St, Brooklyn, NY 11201",4.4,,40.69498,-73.9945,yelp
Golden Diner,"123 Madison St, New York, NY 10002",4.3,2.0,40.71244,-73.994,yelp
Bottega,"1132 Valencia St, San Francisco, CA 94158",4.3,2.0,37.75472,-122.4212,yelp
Fog Harbor Fish House,"39 Pier, San Francisco, CA 94133",4.4,2.0,37.80900878660344,-122.41031730819844,yelp
Sotto Mare,"552 Green St, San Francisco, CA 94133",4.3,2.0,37.79979,-122.40834,yelp
Supreme Dumpling Stonestown,"3251 20th Ave, Ste 219A, San Francisco, CA 94132",4.5,2.0,37.72786943093416,-122.4775318917923,yelp
Marufuku Ramen,"1581 Webster St, Ste 235, San Francisco, CA 94115",4.5,2.0,37.78522,-122.43157,yelp
Le Soleil,"3251 20th Ave, Ste 221, San Francisco, CA 94132",4.1,,37.727881,-122.477064,yelp
Beit Rima,"86 Carl St, San Francisco, CA 94117",4.4,2.0,37.765956,-122.449679,yelp
The Hungry Spot,"2077 Hayes St, San Francisco, CA 94117",4.7,2.0,37.773205,-122.450644,yelp
Milos Meze,"3348 Steiner St, San Francisco, CA 94123",4.8,2.0,37.80033324594831,-122.43767,yelp
Little Original Joe’s,"2301 Chestnut St, San Francisco, CA 94123",4.4,3.0,37.80007651069674,-122.44131790345232,yelp
Do-Re-Mi,"3491 19th St, San Francisco, CA 94110",4.8,,37.75994,-122.42112,yelp
Cha Cha Cha,"1801 Haight St, San Francisco, CA 94117",3.9,2.0,37.769266067639215,-122.45205007340454,yelp
Hog Island Oyster,"1 Ferry Bldg, Ste 11 A, San Francisco, CA 94111",4.4,2.0,37.795973679755114,-122.39343252634102,yelp
Ganji,"1740 Buchanan St, San Francisco, CA 94115",4.6,2.0,37.786192,-122.429731,yelp
Seven Hills,"1896 Hyde St, San Francisco, CA 94109",4.5,3.0,37.7981712,-122.4186984,yelp
Sobakatsu,"1700 Laguna St, San Francisco, CA 94115",4.5,2.0,37.78687547454153,-122.42821,yelp
Roma Antica,"3242 Scott St, San Francisco, CA 94123",4.5,2.0,37.79989,-122.4408,yelp
Jilli,"1503 15th St, San Francisco, CA 94103",4.7,,37.76669,-122.41782,yelp
Zitouna,"2435 Clement St, San Francisco, CA 94121",4.7,,37.78180545877005,-122.4855279,yelp
Mezze and Mooore,"198 Guerrero St, San Francisco, CA 94103",4.7,2.0,37.76815246219715,-122.424627,yelp
Anju House,"234 S Oxford Ave, Los Angeles, CA 90004",4.4,2.0,34.0701519575396,-118.3076326,yelp
Republique,"624 S La Brea Ave, Los Angeles, CA 90036",4.2,2.0,34.06410110188345,-118.34379624529696,yelp
GRANVILLE,"8701 Beverly Blvd, West Hollywood, CA 90048",4.4,2.0,34.07717021374287,-118.38068737404126,yelp
The Hollywood Rooftop Restaurant & Bar,"6933 Hollywood Blvd, Los Angeles, CA 90028",4.6,,34.101853,-118.341362,yelp
Bacari Silverlake,"3626 Sunset Blvd, Los Angeles, CA 90026",4.6,,34.090127,-118.277598,yelp
L'Antica Pizzeria Da Michele,"1534 N Mccadden Pl, Los Angeles, CA 90028",4.3,3.0,34.09907097431642,-118.3373093612014,yelp
Hangari Kalguksu,"3470 W 6th St, Ste 9&10, Los Angeles, CA 90020",4.4,2.0,34.0628602582049,-118.297570301258,yelp
OSTE,"8142 W 3rd St, Los Angeles, CA 90048",4.6,,34.07211,-118.367363,yelp
Bestia,"2121 E 7th Pl, Los Angeles, CA 90021",4.3,3.0,34.033657672296314,-118.22924462080344,yelp
Boiler,"338 S Western Ave, Unit D, Los Angeles, CA 90020",4.8,,34.067829,-118.30872,yelp
Pasta Sisters,"3343 W Pico Blvd, Los Angeles, CA 90019",4.4,2.0,34.0476,-118.317234,yelp
Bottega Louie,"700 S Grand Ave, Los Angeles, CA 90017",4.1,2.0,34.047056,-118.256544,yelp
Vala Kitchen,"6110 W Sunset Blvd, Los Angeles, CA 90028",4.8,2.0,34.09740933546539,-118.3227304,yelp
Laya Restaurant,"1430 N Cahuenga Blvd, Los Angeles, CA 90028",4.3,,34.09702878192855,-118.32915514118584,yelp
Chubby Cattle Little Tokyo,"356 E 2nd St, Los Angeles, CA 90012",4.9,4.0,34.048086,-118.240381,yelp
Great White,"244 N Larchmont Blvd, Los Angeles, CA 90004",4.1,2.0,34.07587723057971,-118.3233931,yelp
Girl & The Goat,"555-3 Mateo St, Ste 300, Los Angeles, CA 90013",4.4,,34.04019,-118.233569,yelp
Enchant,"681 S Western Ave, Los Angeles, CA 90005",4.2,2.0,34.060420911180366,-118.309614,yelp
Running Goose,"1620 N Cahuenga Blvd, Los Angeles, CA 90028",4.4,2.0,34.10052,-118.32927,yelp
Jemma Hollywood,"1717 Vine Street, Los Angeles, CA 90028",4.4,3.0,34.10237501283114,-118.32733166957146,yelp
